One “master” query: tables + columns + PK + FK + data types + defaults,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SchemaName,TableName,ColumnOrder,ColumnName,DataType,IsNullable,IsIdentity,IsComputed,DefaultDefinition,PrimaryKeyOrdinal,FK_Name,RefSchema,RefTable,RefColumn,ColumnDescription
dbo,ADVERTISING_CODES,1,ADV_COMPANY_ID,int,0,0,0,NULL,1,NULL,NULL,NULL,NULL,NULL
dbo,ADVERTISING_CODES,2,ADV_DESCRIPTION,varchar(20),0,0,0,NULL,2,NULL,NULL,NULL,NULL,NULL
dbo,ADVERTISING_CODES,3,ADV_ID,int,0,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AGING_INFO,1,AGE_MIN,int,0,0,0,NULL,1,NULL,NULL,NULL,NULL,NULL
dbo,AGING_INFO,2,AGE_MAX,int,0,0,0,NULL,2,NULL,NULL,NULL,NULL,NULL
dbo,AGING_INFO,3,AGE_DESC,varchar(50),0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AgingNames,1,Id,int,0,1,0,NULL,1,NULL,NULL,NULL,NULL,NULL
dbo,AgingNames,2,WarehouseId,int,0,0,0,NULL,NULL,FK_AgingNames_WAREHOUSE_MASTER,dbo,WAREHOUSE_MASTER,WHS_WHSMAS_ID,NULL
dbo,AgingNames,3,Name,varchar(50),0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AgingNames,4,TypeId,int,0,0,0,NULL,NULL,FK_AgingNames_AgingTypes,dbo,AgingTypes,Id,NULL
dbo,AgingPeriods,1,Id,int,0,1,0,NULL,1,NULL,NULL,NULL,NULL,NULL
dbo,AgingPeriods,2,AgingId,int,0,0,0,NULL,NULL,FK_AgingPeriods_AgingNames,dbo,AgingNames,Id,NULL
dbo,AgingPeriods,3,Days,smallint,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AgingPeriods,4,Description,varchar(50),1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AgingTypes,1,Id,int,0,1,0,NULL,1,NULL,NULL,NULL,NULL,NULL
dbo,AgingTypes,2,Description,nvarchar(50),0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_CHECK,1,ACK_COMPANY_ID,int,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_CHECK,2,ACK_WAREHOUSE_NUMBER,int,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_CHECK,3,ACK_CHECK_NUMBER,int,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_CHECK,4,ACK_VOUCHER_NUMBER,int,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_CHECK,5,ACK_VENDOR_NUMBER,varchar(7),1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_CHECK,6,ACK_CHECK_TYPE,int,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_CHECK,7,ACK_CHECK_DATE,datetime,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_CHECK,8,ACK_CHECK_AMOUNT,float,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_CHECK,9,ACK_INVOICE_NUMBER,varchar(20),1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
